	mean	std
170689	105.30995831981207	243.48817018492215
170690	95.30371229493396	278.6274425006239
170691	83.59330901388157	163.77281216282805
9510	1473.7008697854674	1973.873479996998
9509	375.73544788173797	684.7518173685008
9508	68.41678229673666	150.08794949488544
9507	698.0672351721666	1211.4777744021883
11173	258.4875071930772	370.7944436820105
11095	73.33473830899584	257.3453875694653
56999	562.1982604470888	827.685546206878
9719	307.8311858842616	448.605251649483
57188	183.54105082026302	356.39969320402076
54507	558.1790927348135	1205.8205597615279
339366	90.53889606994728	119.02383512595776
11033	586.1972648999454	842.2725086167897
55803	276.2832774292399	243.70683650811742
104	542.1471164773744	452.03141896055706
103	8219.040981665763	3910.896574813386
23536	237.85838633495584	138.73689944215795
134637	176.6863999098613	168.6755520262
113179	81.71519778258515	81.65337046963684
100	284.84922170542654	385.21575957636577
57143	233.24127955651736	130.13763762124236
90956	876.6881556877606	388.6405878610628
79934	745.9041346493616	389.4747157867946
203054	257.34043648819187	216.98081382888532
55811	7.595947196682908	28.82548838307304
107	529.2359461150172	1367.5008358992548
109	1050.2999785289364	716.7364017557111
196883	146.63653353163852	150.0559757598381
111	205.0810793762393	373.49874962638023
112	1306.9582498828208	872.8980773199565
113	739.9959963944503	779.7116326859292
115	896.1168433747936	691.4446123560103
113451	173.94319704344682	168.481343731191
118	5231.41408018749	2090.1646947797335
119	209.93581299801664	508.5531477813544
120	2193.7062531097968	1848.365972729268
126	833.107151793766	4983.222081368504
128	2746.4236807283205	1453.6426916790829
130	310.7702313683075	1894.5403849109862
137872	172.53328912925926	280.3880172098624
55256	2584.212451072653	2921.415966987282
51094	3237.2384543537205	1440.9834716427836
79602	2571.9363674418614	2156.7991892626483
132	482.6369586803685	325.3027664021609
79924	345.13365763475736	575.7474630116227
133	1098.481612871824	1837.15588968009
22850	653.8813430322716	273.223839676892
23394	2520.473058355873	1108.9327501851956
134	301.2971945916712	602.1145188577806
135	199.53594258157517	446.3054538526986
136	146.06276749594377	203.38835589822762
84890	688.4328901568387	376.08716757977
83440	1183.7924421308842	626.6652367619223
113622	85.96173055705773	146.39449784128072
54936	889.955992175951	406.84699886049634
141	279.59044977465265	185.68449957182932
147	57.62548258518116	117.22638548349086
146	20.231682260681346	85.1779737863435
150	286.630428700198	651.6485463283642
151	48.00431575626463	132.33948857870837
152	162.96449248242314	396.86895541856586
153	75.98576560302884	217.67798242056935
154	143.07462720389387	246.6718687436317
156	2874.3324767802374	1886.574290262152
157	599.5044451956013	509.75067822701203
11047	2652.4254946277288	1553.7253344982444
158	1099.3816014782751	591.742973125447
122622	274.05798667748314	517.9814248443254
159	1415.974140418245	711.2963796331521
165	9262.76136160082	13095.42935016846
121536	793.0630105822983	509.70657729139987
64782	775.5707869659278	695.6747173049695
166	8644.96666093386	5346.518277974164
134265	343.08750903190844	386.78186937429115
84632	862.0159914368109	1289.8233080756754
60312	1192.5457565891493	838.8002818920052
4299	2158.1650248062074	1771.8050302676504
3899	613.7237113755185	1490.7367421322485
27125	2544.7404062556298	1248.6918763927044
10939	1631.0235771407936	834.3833904449509
125061	610.3155485667911	680.3127005194295
174	1014.8160022895252	19093.292547230667
54812	1399.3205223183709	631.974347351616
387763	710.5384932936744	1358.110376453402
116987	449.5376820082928	260.5016241030019
116986	362.83583329727725	1278.0039395263182
116988	1959.5984944654829	1342.1316764886053
119016	239.59157602307548	204.58697924091828
729092	41.14778848025952	34.76095669611196
414189	139.79698449612414	121.03171820030461
175	515.105859816115	346.9670769038572
79841	26.375033405444338	63.305828310921584
340351	9.658779862988991	14.108567009964899
60509	832.0065550387579	465.59242085643154
3267	1697.4005275283944	767.5096853815114
3268	751.3060430503006	752.4181947460202
55109	814.3965907517567	275.39202384238695
55750	633.2803351361065	239.71014569212775
178	855.7666484586246	963.3085779509335
79814	209.10403520822118	464.668340497623
10555	1786.2031258518125	1901.028053593745
56894	2399.2554455381323	1163.7692056317708
56895	325.8375204434831	369.6197967892833
55326	989.8752907517564	787.5187005984902
137964	2252.034269677301	1937.05373350688
84803	202.62194451054668	513.5933035477414
123688	43.787055723814596	35.30485614860406
8540	1163.0853955291186	641.9530339725607
10551	5334.411727366134	13434.817155081062
155465	492.74703888588374	1336.489705503473
375790	8077.806167153448	6606.958672338583
181	25.64139753019647	598.9135029928013
23287	406.19991588245983	380.22012082774916
57085	1229.4896434108537	877.9160331333002
183	4940.5248040742745	19548.52633176691
85007	524.0560760771596	374.8908203690417
25909	1333.3639081305244	616.2567912018657
10768	3972.0410575626465	4170.8804515191605
23382	1297.2899669370827	1774.5767072395615
191	5015.842200793213	3399.6623415390086
27245	1081.5611348476602	789.9723663911102
54806	337.7056957093922	244.07837442800155
113146	2955.693338218855	5092.6475624488185
79026	22087.82829437536	18345.38967733887
57491	75.38462527492345	180.80814322835573
196	2443.8128953127803	2469.813353697598
10598	2216.949186280873	1058.3558662101434
130872	527.286406309717	463.5790567428918
197	3608.9940487290364	24123.03473368858
64853	1139.5498763115197	584.3844044238506
83543	1600.6034703623593	2388.423029248468
9131	1381.9982175229854	1161.7238373485968
84883	529.431430430866	443.6446897071481
150209	89.4801773751579	262.9912382084927
51390	901.5393921398969	801.1120965217649
55057	165.95540504777387	353.6371917117574
202	1656.0376116639654	3016.2786488446886
9447	133.4906962682527	330.49317055565143
9255	1075.9297893455905	720.1319216356823
7965	611.0994598161176	320.77121914722056
9049	1333.6600145484115	709.0573097730954
203	1106.63520210925	1241.2718532971505
204	2542.654326825298	1226.2501638583233
205	467.4310606273662	639.9271240907749
50808	1680.1595922120075	1120.1936699245484
26289	150.9678155759867	523.3613710185097
122481	47.98731487290421	89.10777112109034
11216	405.8528316567507	236.76340753684258
11215	1327.1728853073776	847.017217553921
9590	1786.7912891833496	3145.3410631859297
11214	2978.2421364521424	1841.4994316599343
8165	1896.2727923742596	1259.1985636301204
11217	661.2451419325774	712.0475065788454
10566	40.89749403281055	127.6237210662244
9495	116.2297040742744	169.28546720053785
9472	418.4373566973137	953.7616107839827
9465	223.11017119163472	233.12946955256555
26993	1077.9489026681094	556.1751100457111
10270	733.4944582657291	249.5405848089368
10142	1756.3301316747788	1745.950105538234
221264	122.43485759870198	97.23038574255345
79647	1315.250508887689	731.9487553704911
55122	851.3927042906063	394.28494282084716
254268	6.259841824409594	75.93539229427833
80709	982.8045322516707	1056.078244434928
10327	2698.3661185686	1488.7314589399855
57016	2218.370052821348	9469.167643917908
441282	43.38475817559046	285.325016402193
231	2612.4692485848304	5929.01788609449
1645	3878.0164670813106	13916.912102255134
1646	2668.162181431394	9811.577137610471
8644	2383.6538418784958	6085.726991565559
1109	302.36431532359813	2036.3030122370917
83592	33.92064344690823	46.96422767346332
8574	1125.8426128898502	601.2993368871075
22977	378.51327180457906	1078.721824331341
84335	1386.4487050658015	687.1940666634326
207	4155.548652190378	1764.3611425946788
208	2920.1432088155793	1857.365288712852
64400	584.4909263385617	327.5638806034709
210	1401.5533346313316	1371.5217834185653
211	1626.6527907517575	2437.6474615040884
212	30.2641306832522	404.9208594528762
213	66014.20350571504	408117.5346662259
214	2989.662905408325	3064.6960400589815
126133	855.8372971335845	578.6953570631796
5832	2211.3174590949966	1095.014345868477
216	4579.124775374089	11558.232387868698
8854	221.82949814314063	1543.8816783074292
220	1813.1069682350835	5474.700411999216
219	1316.3805231476472	2060.951015788162
10840	1279.8179987921405	5249.504690680685
160428	277.60142013700977	354.571539672267
217	4635.914312060577	7017.243718548403
218	1226.9188655489452	7099.698643383951
224	2769.251506327747	2758.2680960072853
221	745.2412868757895	1072.0527096644464
222	831.2451363619965	2197.473957057051
8659	1583.230041860461	2998.684169721191
7915	958.3965945375847	1080.901764928199
4329	532.0468459888216	786.2534973850419
501	1550.750039715161	1287.0727368709677
64577	229.39667641968694	1008.0156014797303
223	2450.578642365241	1370.8394525226786
226	31053.918747016374	19205.988599409335
229	4827.613543897596	31898.405122182285
230	2274.431572020907	6488.174858138449
144245	287.6204848025948	319.50906162901856
84920	117.08568566792825	77.25554456288434
440138	20.171030376780173	16.585363455540936
79087	682.3026081305215	329.69562547326336
79868	509.9502411213267	390.6846417949345
199857	217.2259844420401	110.90655944679868
644974	0.9754171263746183	2.752143009288553
200810	116.77257126374602	293.10707318405565
56052	682.1375788354054	302.6742083198927
85365	858.182723814673	373.94384300825413
10195	1376.603851703622	984.295670862335
29880	687.5225414638547	364.4784080060472
29929	333.8044989543888	167.21956254574397
79053	899.4262498467649	1085.673949349243
79796	549.8397279971164	195.166045894986
8846	250.23499509644932	93.17749232938071
121642	364.05988417162365	222.51814444081327
221120	344.7374243014237	161.32147518253117
54784	347.47680232558105	162.84518501359946
54890	2399.5475516495417	1323.6530610632926
84964	189.75142078600982	129.63954295093762
84266	935.6139729042751	869.1028382400827
91801	186.29103989543907	80.15932571541053
238	62.431296466558514	936.1484326412923
7840	641.0874629709771	390.58819726055833
242	63.09597247160616	457.28309669340604
239	40.00897279610598	149.31438592382273
246	86.76395020731937	676.5814571215516
241	419.14011325040667	592.1621049197477
59344	34.1601170001802	160.2929397171882
80216	406.3521234360923	260.1554280049572
115701	250.2640226789259	771.4674260766915
57538	525.3785337479716	914.6924231949558
249	1085.68360447088	2849.539291909151
251	164.28560117180476	2072.5073660299468
250	78.94082979989173	670.5896683142201
259173	563.1169911663953	847.5878842315751
151254	14.127992536506264	27.65352361187965
130540	5.282588498287351	14.370389424660514
65062	568.481553344148	365.03644284689557
79800	150.12060158644252	119.58678109878275
57679	618.8227476473782	329.0986418381932
8092	36.75546307914199	155.9649221730826
60529	4.761616080764362	30.286682649811826
83650	1.6974935280331696	3.2059055359408686
23600	1954.1754998557747	5865.45108498084
259	7358.484809013875	42844.33282286193
55626	935.3256199387063	395.3661927402327
262	2495.316857508565	2753.6661274733
144193	106.18932163331571	559.8922059345465
51005	344.92861072652033	314.62022551759276
267	2812.0931073192746	1708.0059112042225
268	39.069476221380974	83.50101748248235
57463	117.03589013881374	114.99422510695
347902	721.4961403281064	1357.442042720679
386724	138.75427276005047	114.02451556573752
83607	740.4428474670967	268.15164137261155
9949	468.0122484045427	385.1567534564477
196394	215.6407904813414	156.77479666886478
81693	284.46763239589023	814.3514510470054
154810	1583.7743571480091	1543.2962508381052
51421	1630.0187628988606	1332.9198823257652
154796	795.8619405444413	912.9010169232176
271	1254.618362628447	1164.520566547644
272	401.61780531819034	427.2055346448501
273	125.98370007211122	334.43240998231056
275	257.8924081665758	336.0557501061849
280	596.8114976383647	16126.228114251977
155185	38.77986122228229	98.12592056237904
51321	1401.238827564449	630.7904862971461
10393	123.47347887146181	48.212374824323675
51529	1683.1578204074285	1244.7918482268847
25847	1273.5402877230972	492.04553997443765
119504	2040.283483468542	871.4850915811447
64682	677.4976924103099	403.4389131782195
29882	842.7946471065444	341.90127380896394
29945	485.93060200108243	338.187453910141
51433	2601.311930539027	945.7596823663132
51434	1217.272609500628	493.1202432474794
23357	611.9781231656752	336.2861911886624
90806	601.8623376780247	247.52053473329264
284	199.66938750675982	523.9830859215875
285	474.86605045971095	960.3330240873926
51378	2.938554011177208	10.05898289634428
9068	133.48627243554984	499.74604019598326
23452	1616.9401802596008	2859.217404210718
27329	352.0372278709214	2099.179371738797
51129	1916.6636214710693	5751.515482315295
83854	17.811227654588006	62.285190572381204
10218	50.99333996755011	472.93163845504523
283	916.0886908058415	4593.1741579781765
286	165.81471526951492	587.9142779932992
287	889.7030786911863	1942.3323624718703
288	875.058755435371	964.5761840879892
150709	31.655144095907776	25.636188079949985
348094	135.57837481521537	151.71966198163844
162282	17.679741860465054	156.509881933136
